Name,Type
Pecharunt,Pokémon,Scarlet & Violet Promos,129,{D},0
Paradise Resort,Trainer,Scarlet & Violet Promos,137,0,Stadium
Pikachu,Pokémon,Scarlet & Violet Promos,138,{L},0
Pecharunt,Pokémon,Scarlet & Violet Promos,136,{D},0
Greninja ex,Pokémon,Scarlet & Violet Promos,132,{W},0
Kingdra ex,Pokémon,Scarlet & Violet Promos,131,{W},0
Kingambit,Pokémon,Scarlet & Violet Promos,130,{M},0
Basic {M} Energy,Energy,Shrouded Fable,99,{M},0
Basic {D} Energy,Energy,Shrouded Fable,98,{M},0
Powerglass,Trainer,Shrouded Fable,97,0,Pokémon Tool
Earthen Vessel,Trainer,Shrouded Fable,96,0,Item
Pecharunt ex,Pokémon,Shrouded Fable,95,{D},0
Cassiopeia,Trainer,Shrouded Fable,94,0,Supporter
Pecharunt ex,Pokémon,Shrouded Fable,93,{D},0
Fezandipiti ex,Pokémon,Shrouded Fable,92,{D},0
Munkidori ex,Pokémon,Shrouded Fable,91,{D},0
Okidogi ex,Pokémon,Shrouded Fable,90,{D},0
Xerosic’s Machinations,Trainer,Shrouded Fable,89,0,Supporter
Janine’s Secret Art,Trainer,Shrouded Fable,88,0,Supporter
Colress’s Tenacity,Trainer,Shrouded Fable,87,0,Supporter
Cassiopeia,Trainer,Shrouded Fable,86,0,Supporter
Pecharunt ex,Pokémon,Shrouded Fable,85,{D},0
Fezandipiti ex,Pokémon,Shrouded Fable,84,{D},0
Munkidori ex,Pokémon,Shrouded Fable,83,{D},0
Okidogi ex,Pokémon,Shrouded Fable,82,{D},0
Revavroom ex,Pokémon,Shrouded Fable,81,{L},0
Kingdra ex,Pokémon,Shrouded Fable,80,{W},0
Bewear,Pokémon,Shrouded Fable,79,{C},0
Persian,Pokémon,Shrouded Fable,78,{C},0
Fraxure,Pokémon,Shrouded Fable,77,{N},0
Cufant,Pokémon,Shrouded Fable,76,{M},0
Zorua,Pokémon,Shrouded Fable,75,{D},0
Okidogi,Pokémon,Shrouded Fable,74,{F},0
Fezandipiti,Pokémon,Shrouded Fable,73,{P},0
Munkidori,Pokémon,Shrouded Fable,72,{P},0
Cresselia,Pokémon,Shrouded Fable,71,{P},0
Dusknoir,Pokémon,Shrouded Fable,70,{P},0
Dusclops,Pokémon,Shrouded Fable,69,{P},0
Duskull,Pokémon,Shrouded Fable,68,{P},0
Horsea,Pokémon,Shrouded Fable,67,{W},0
Houndoom,Pokémon,Shrouded Fable,66,{R},0
Tapu Bulu,Pokémon,Shrouded Fable,65,{G},0
Xerosic’s Machinations,Trainer,Shrouded Fable,64,0,Supporter
Powerglass,Trainer,Shrouded Fable,63,0,Pokémon Tool
Poké Vital A,Trainer,Shrouded Fable,62,0,Item
Night Stretcher,Trainer,Shrouded Fable,61,0,Item
Neutralization Zone,Trainer,Shrouded Fable,60,0,Stadium
Janine’s Secret Art,Trainer,Shrouded Fable,59,0,Supporter
Dangerous Laser,Trainer,Shrouded Fable,58,0,Item
Colress’s Tenacity,Trainer,Shrouded Fable,57,0,Supporter
Cassiopeia,Trainer,Shrouded Fable,56,0,Supporter
Binding Mochi,Trainer,Shrouded Fable,55,0,Pokémon Tool
Academy at Night,Trainer,Shrouded Fable,54,0,Stadium
Bewear,Pokémon,Shrouded Fable,53,{C},0
Stufful,Pokémon,Shrouded Fable,52,{C},0
Furfrou,Pokémon,Shrouded Fable,51,{C},0
Eevee,Pokémon,Shrouded Fable,50,{C},0
Persian,Pokémon,Shrouded Fable,49,{C},0
Meowth,Pokémon,Shrouded Fable,48,{C},0
Kyurem,Pokémon,Shrouded Fable,47,{N},0
Haxorus,Pokémon,Shrouded Fable,46,{N},0
Fraxure,Pokémon,Shrouded Fable,45,{N},0
Axew,Pokémon,Shrouded Fable,44,{N},0
Varoom,Pokémon,Shrouded Fable,43,{M},0
Copperajah,Pokémon,Shrouded Fable,42,{M},0
Cufant,Pokémon,Shrouded Fable,41,{M},0
Genesect,Pokémon,Shrouded Fable,40,{M},0
Pecharunt ex,Pokémon,Shrouded Fable,39,{D},0
Fezandipiti ex,Pokémon,Shrouded Fable,38,{D},0
Munkidori ex,Pokémon,Shrouded Fable,37,{D},0
Okidogi ex,Pokémon,Shrouded Fable,36,{D},0
Yveltal,Pokémon,Shrouded Fable,35,{D},0
Malamar,Pokémon,Shrouded Fable,34,{D},0
Inkay,Pokémon,Shrouded Fable,33,{D},0
Zoroark,Pokémon,Shrouded Fable,32,{D},0
Zorua,Pokémon,Shrouded Fable,31,{D},0
Absol,Pokémon,Shrouded Fable,30,{D},0
Crobat,Pokémon,Shrouded Fable,29,{D},0
Golbat,Pokémon,Shrouded Fable,28,{D},0
Zubat,Pokémon,Shrouded Fable,27,{D},0
Slither Wing,Pokémon,Shrouded Fable,26,{F},0
Bloodmoon Ursaluna,Pokémon,Shrouded Fable,25,{F},0
Toxicroak,Pokémon,Shrouded Fable,24,{F},0
Croagunk,Pokémon,Shrouded Fable,23,{F},0
Sylveon,Pokémon,Shrouded Fable,22,{P},0
Cresselia,Pokémon,Shrouded Fable,21,{P},0
Dusknoir,Pokémon,Shrouded Fable,20,{P},0
Dusclops,Pokémon,Shrouded Fable,19,{P},0
Duskull,Pokémon,Shrouded Fable,18,{P},0
Hypno,Pokémon,Shrouded Fable,17,{P},0
Drowzee,Pokémon,Shrouded Fable,16,{P},0
Revavroom ex,Pokémon,Shrouded Fable,15,{L},0
Weavile,Pokémon,Shrouded Fable,14,{W},0
Sneasel,Pokémon,Shrouded Fable,13,{W},0
Kingdra ex,Pokémon,Shrouded Fable,12,{W},0
Seadra,Pokémon,Shrouded Fable,11,{W},0
Horsea,Pokémon,Shrouded Fable,10,{W},0
Iron Moth,Pokémon,Shrouded Fable,9,{R},0
Houndoom,Pokémon,Shrouded Fable,8,{R},0
Houndour,Pokémon,Shrouded Fable,7,{R},0
Tapu Bulu,Pokémon,Shrouded Fable,6,{G},0
Decidueye,Pokémon,Shrouded Fable,5,{G},0
Dartrix,Pokémon,Shrouded Fable,4,{G},0
Rowlet,Pokémon,Shrouded Fable,3,{G},0
Galvantula,Pokémon,Shrouded Fable,2,{G},0
Joltik,Pokémon,Shrouded Fable,1,{G},0
Miraidon ex,Pokémon,Scarlet & Violet Promos,134,{L},0
Victini ex,Pokémon,Scarlet & Violet Promos,133,{R},0
Miraidon,Pokémon,Scarlet & Violet Promos,135,{L},0
Palafin ex,Pokémon,Scarlet & Violet Promos,126,{W},0
Kingambit,Pokémon,Scarlet & Violet Promos,113,{D},0
Bisharp,Pokémon,Scarlet & Violet Promos,112,{D},0
Pawniard,Pokémon,Scarlet & Violet Promos,111,{D},0
Darkrai ex,Pokémon,Scarlet & Violet Promos,110,{D},0
Ampharos,Pokémon,Scarlet & Violet Promos,109,{L},0
Flaaffy,Pokémon,Scarlet & Violet Promos,108,{L},0
Mareep,Pokémon,Scarlet & Violet Promos,107,{L},0
Pikachu ex,Pokémon,Scarlet & Violet Promos,106,{L},0
Armarouge ex,Pokémon,Scarlet & Violet Promos,105,{R},0
Luminous Energy,Energy,Twilight Masquerade,226,{R},0
Rescue Board,Trainer,Twilight Masquerade,225,0,Pokémon Tool
Enhanced Hammer,Trainer,Twilight Masquerade,224,0,Item
Buddy-Buddy Poffin,Trainer,Twilight Masquerade,223,0,Item
Bloodmoon Ursaluna ex,Pokémon,Twilight Masquerade,222,{C},0
Teal Mask Ogerpon ex,Pokémon,Twilight Masquerade,221,{G},0
Perrin,Trainer,Twilight Masquerade,220,0,Supporter
Lana’s Aid,Trainer,Twilight Masquerade,219,0,Supporter
Kieran,Trainer,Twilight Masquerade,218,0,Supporter
Carmine,Trainer,Twilight Masquerade,217,0,Supporter
Bloodmoon Ursaluna ex,Pokémon,Twilight Masquerade,216,{C},0
Cornerstone Mask Ogerpon ex,Pokémon,Twilight Masquerade,215,{F},0
Greninja ex,Pokémon,Twilight Masquerade,214,{F},0
Wellspring Mask Ogerpon ex,Pokémon,Twilight Masquerade,213,{W},0
Hearthflame Mask Ogerpon ex,Pokémon,Twilight Masquerade,212,{R},0
Teal Mask Ogerpon ex,Pokémon,Twilight Masquerade,211,{G},0
Sinistcha ex,Pokémon,Twilight Masquerade,210,{G},0
Perrin,Trainer,Twilight Masquerade,209,0,Supporter
Lucian,Trainer,Twilight Masquerade,208,0,Supporter
Lana’s Aid,Trainer,Twilight Masquerade,207,0,Supporter
Kieran,Trainer,Twilight Masquerade,206,0,Supporter
Hassel,Trainer,Twilight Masquerade,205,0,Supporter
Carmine,Trainer,Twilight Masquerade,204,0,Supporter
Caretaker,Trainer,Twilight Masquerade,203,0,Supporter
Bloodmoon Ursaluna ex,Pokémon,Twilight Masquerade,202,{C},0
Blissey ex,Pokémon,Twilight Masquerade,201,{C},0
Dragapult ex,Pokémon,Twilight Masquerade,200,{N},0
Cornerstone Mask Ogerpon ex,Pokémon,Twilight Masquerade,199,{F},0
Greninja ex,Pokémon,Twilight Masquerade,198,{F},0
Scream Tail ex,Pokémon,Twilight Masquerade,197,{P},0
Iron Thorns ex,Pokémon,Twilight Masquerade,196,{L},0
Luxray ex,Pokémon,Twilight Masquerade,195,{L},0
Wellspring Mask Ogerpon ex,Pokémon,Twilight Masquerade,194,{W},0
Palafin ex,Pokémon,Twilight Masquerade,193,{W},0
Hearthflame Mask Ogerpon ex,Pokémon,Twilight Masquerade,192,{R},0
