Energy Search,Trainer,Black & White Trainer Kit—Excadrill,21,0,Item,0
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,20,0,0,1
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,20,0,0,2
Minccino,Pokémon,Black & White Trainer Kit—Zoroark,19,{C},0,3
Herdier,Pokémon,Black & White Trainer Kit—Excadrill,19,{C},0,4
Pokémon Communication,Trainer,Black & White Trainer Kit—Zoroark,18,0,Item,5
Audino,Pokémon,Black & White Trainer Kit—Excadrill,18,{C},0,6
Excadrill,Pokémon,Black & White Trainer Kit—Excadrill,17,{F},0,7
Zoroark,Pokémon,Black & White Trainer Kit—Zoroark,17,{D},0,8
PlusPower,Trainer,Black & White Trainer Kit—Excadrill,16,0,Item,9
Energy Retrieval,Trainer,Black & White Trainer Kit—Zoroark,16,0,Item,10
Potion,Trainer,Black & White Trainer Kit—Excadrill,15,0,Item,11
Tranquill,Pokémon,Black & White Trainer Kit—Zoroark,15,{C},0,12
Gurdurr,Pokémon,Black & White Trainer Kit—Excadrill,14,{F},0,13
Pidove,Pokémon,Black & White Trainer Kit—Zoroark,14,{C},0,14
Drilbur,Pokémon,Black & White Trainer Kit—Excadrill,13,{F},0,15
Zorua,Pokémon,Black & White Trainer Kit—Zoroark,13,{D},0,16
Audino,Pokémon,Black & White Trainer Kit—Excadrill,12,{C},0,17
Patrat,Pokémon,Black & White Trainer Kit—Zoroark,12,{C},0,18
PlusPower,Trainer,Black & White Trainer Kit—Zoroark,11,0,Item,19
Timburr,Pokémon,Black & White Trainer Kit—Excadrill,11,{F},0,20
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,10,0,0,21
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,10,0,0,22
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,9,0,0,23
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,9,0,0,24
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,8,0,0,25
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,8,0,0,26
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,7,0,0,27
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,7,0,0,28
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,6,0,0,29
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,6,0,0,30
Fighting Energy,Energy,Black & White Trainer Kit—Excadrill,5,0,0,31
Darkness Energy,Energy,Black & White Trainer Kit—Zoroark,5,0,0,32
Energy Switch,Trainer,Black & White Trainer Kit—Excadrill,4,0,Item,33
